"","VIP","Coefficient"
"crop_production",4.62756145810767,40467.7426741185
"crop_residue",4.61997249268746,40401.3776344387
"general_CV",0.0787064770103047,-688.28334043172
"discount_rate_farmers",0.293012067833066,2562.37265973097
"total_area",0.851726085012033,7448.29265891499
"crop_price",0.900086160210238,7871.19856660275
"residue_price",3.07019451240187,26848.6637318861
"farm_job_created",0.119811105465509,-1047.7408089276
"off_farm_job",0.624564590252873,5461.77924389036
"construction_job_perc",0.0945715290862072,-827.022253081765
"watershed_mgmt_job",0.0834364986983007,-729.647091566231
"family_labour_cost",0.0194395756451938,-169.997903220815
"off_farm_labour_cost",0.036123378079732,-315.896737814103
"total_population",0.1761303728391,-1540.24936668564
"prop_trained",0.114461842970339,-1000.96183470747
"prop_adopted",0.192021692556464,-1679.21798825797
"value_capacity_development",0.0307864661591043,269.225768614978
"prob_flooding_hazard",0.0592739270504008,-518.346876400205
"value_red_flooding_effect",0.16129433449464,-1410.50911634817
"value_improve_ecosystem",0.00100675280416873,-8.80399186145169
"veg_cover_density",0.0867111407278306,758.28363636429
"watershed_area",0.0689560849393464,603.016756536224
"value_vegetative_cover",0.0780938284832959,682.925766434031
"perc_area_reclaimed",0.168934520987409,1477.32208118301
"value_reclaimed_area",0.156781367474956,1371.0434950479
"farm_input_cost",0.175330814170309,-1533.25727489942
"labour_contribution",0.110903508290125,969.844414984175
"perimeter_fenced",0.0981604030992361,-858.406737407657
"cost_fence",0.656026022361456,-5736.90754856123
"value_tree_cleared",0.193486003868426,-1692.02330135942
"perc_soil_disturbed",0.1340781186507,1172.50496895729
"value_soil_disturbance",0.34929885940576,3054.59721859116
"vegetative_area_affected",0.0224005808979313,195.891713537382
"area_benefited_alluvial_deposits",0.0701014285585715,613.03271662143
"value_alluvial_deposits",0.00629686461403168,55.0656969467022
"no_people_affected",0.00534600058767566,46.7504490380581
"cost_health_treatment",0.149723879004226,1309.32618887174
"prop_area_converted_crop",0.0152747279869711,-133.57656450157
"current_value_pasture",0.395206580063389,-3456.05743541299
"pasture_clearing_cost",0.114324672511163,-999.762287409251
"study_design_cost",0.409264383718293,-3578.99207086192
"training_cost",0.153401541570547,-1341.48712368015
"construction_cost",0.19100191751391,-1670.30011771618
"perc_watershed_area_intervened",0.29116971703178,2546.26141435544
"cost_watershed_mgmt",0.033962551493669,-297.000441127435
"perc_repair_maint_cost",0.101932908985058,-891.39707125975
"prob_slopey_area",0.0652115662318224,570.271168851156
"perc_increase_cost_due_to_slope",0.0157759780486395,137.959965715064
"prob_improper_design",0.254515283256373,-2225.72062687657
"prob_supervision",0.0101990826911382,-89.1903559992512
"prob_reject_suggestions",0.102953827693823,900.32494309279
"perc_supervision_cost",0.441084632642471,3857.25820669765
"prob_total_str_failure",1.40068440011754,-12248.8996385556
"prob_conflict",0.0111715347994741,-97.6943903679559
"cost_managing_conflict",0.0300484983723752,262.772285335395
"prob_siltation",0.141795731394742,1239.99502163658
"prob_yield_red_dry",0.989193347503197,-8650.43548402244
"perc_reduction_crop_yield",0.988322311296205,-8642.8183255247
"prob_yield_red_flood",0.33730979371509,-2949.75357044834
"perc_reduction_crop_yield_flood",0.272861315064487,-2386.15555594731
